LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Cockburn (C),5185,3293,596,976
Collie (S),581,552,74,57
Coolgardie (S),221,208,12,24
Coorow (S),60,56,6,5
Corrigin (S),44,34,5,5
Cottesloe (T),159,62,12,62
Cranbrook (S),49,37,0,0
Cuballing (S),49,36,14,0
Cue (S),27,31,5,0
Cunderdin (S),62,50,6,12
Dalwallinu (S),49,32,6,5
Dandaragan (S),163,144,29,10
Dardanup (S),612,383,116,65
Denmark (S),320,237,50,23
Derby-West Kimberley (S),1968,1544,19,275
Donnybrook-Balingup (S),289,213,46,23
Dowerin (S),42,31,5,5
Dumbleyung (S),38,35,5,0
Dundas (S),68,64,5,0
East Fremantle (T),209,128,34,42
East Pilbara (S),602,472,8,82
Esperance (S),644,427,60,70
Exmouth (S),135,124,11,5
Fremantle (C),1619,1338,182,343
Gingin (S),209,180,21,15
Gnowangerup (S),76,47,6,8
Goomalling (S),56,40,7,7
Gosnells (C),8162,4843,773,1510
Greater Geraldton (C),2735,2074,190,355
Halls Creek (S),1009,732,5,157
Harvey (S),1234,844,243,110
Irwin (S),156,162,24,14
Jerramungup (S),50,28,11,5
Joondalup (C),5477,2940,772,1084
Kalamunda (C),2350,1385,281,355
Kalgoorlie/Boulder (C),1306,966,64,126
Karratha (C),1085,845,21,122
Katanning (S),348,247,20,41
Kellerberrin (S),78,79,0,9
Kent (S),11,5,0,0
Kojonup (S),100,78,7,5
Kondinin (S),33,34,0,5
Koorda (S),20,18,5,0
Kulin (S),25,11,0,5
Kwinana (C),2837,1978,268,452
Lake Grace (S),38,12,5,5
Laverton (S),110,110,5,10
Leonora (S),102,79,0,8
Mandurah (C),5047,3954,703,693
Manjimup (S),426,329,63,39
Meekatharra (S),233,170,5,34
Melville (C),3483,1613,461,984
Menzies (S),19,19,0,0
Merredin (S),193,172,13,19
Mingenew (S),17,20,0,0
Moora (S),181,138,12,27
Morawa (S),73,46,0,8
Mosman Park (T),270,163,21,66
Mount Magnet (S),91,82,6,11
Mount Marshall (S),17,8,5,0
Mukinbudin (S),20,14,0,5
Mundaring (S),1407,904,189,174
Murchison (S),5,0,0,0
Murray (S),985,761,156,106
Nannup (S),69,77,11,5
Narembeen (S),22,18,5,5
Narrogin (S),301,245,23,40
Nedlands (C),498,165,50,199
Ngaanyatjarraku (S),517,461,5,65
Northam (S),832,710,56,97
Northampton (S),187,194,19,5
Nungarin (S),17,11,0,0
Peppermint Grove (S),21,9,0,9
Perenjori (S),16,14,0,0
Perth (C),2090,1256,138,709
Pingelly (S),94,92,8,8
Plantagenet (S),359,250,47,29
Port Hedland (T),1067,883,19,134
Quairading (S),67,65,0,12
Ravensthorpe (S),75,75,5,5
Rockingham (C),7105,4760,743,1016
Sandstone (S),0,6,0,0
Serpentine-Jarrahdale (S),1249,690,126,158
Shark Bay (S),56,51,5,0
South Perth (C),1831,880,182,608
Stirling (C),10208,6494,1112,2023
Subiaco (C),499,328,52,147
Swan (C),8933,5407,823,1436
Tammin (S),35,32,5,10
Three Springs (S),37,39,0,0
Toodyay (S),258,187,26,29
Trayning (S),16,22,5,5
Upper Gascoyne (S),9,5,0,5
Victoria Park (T),1909,1166,185,533
Victoria Plains (S),36,19,8,0
Vincent (C),1505,875,163,405
Wagin (S),111,105,6,13
Wandering (S),13,14,0,0
Wanneroo (C),11121,6501,1158,1899
Waroona (S),222,214,30,17
West Arthur (S),40,25,5,0
Westonia (S),8,5,0,0
Wickepin (S),44,33,5,0
Williams (S),25,23,5,5
Wiluna (S),101,91,0,5
Wongan-Ballidu (S),68,61,8,5
Woodanilling (S),26,15,5,5
Wyalkatchem (S),27,27,0,0
Wyndham-East Kimberley (S),1019,761,16,135
Yalgoo (S),43,37,5,0
Yilgarn (S),42,61,0,0
York (S),218,175,16,31
Break O'Day (M),527,535,121,37
Brighton (M),1469,1024,139,267
Burnie (C),1456,1131,253,238
Central Coast (M) (Tas.),1300,866,301,138
Central Highlands (M) (Tas.),152,152,19,17
Circular Head (M),432,320,84,43
Clarence (C),2975,1727,518,580
Derwent Valley (M),803,618,125,116
Devonport (C),1734,1285,338,301
Dorset (M),480,376,100,41
Flinders (M) (Tas.),48,43,0,10
George Town (M),653,504,122,80
Glamorgan/Spring Bay (M),229,186,63,13
Glenorchy (C),3396,2417,446,656
Hobart (C),2863,1401,392,1059
Huon Valley (M),1250,899,283,159
Kentish (M),397,279,100,29
King Island (M),43,29,7,0
Kingborough (M),1792,901,359,333
Latrobe (M) (Tas.),604,397,175,57
Launceston (C),5058,3531,692,1002
Meander Valley (M),1018,706,202,133
Northern Midlands (M),700,535,138,80
Sorell (M),949,618,193,136
Southern Midlands (M),401,266,55,54
Tasman (M),153,166,33,14
Waratah/Wynyard (M),858,632,183,104
West Coast (M),328,410,34,24
West Tamar (M),1300,799,300,165
Alice Springs (T),3029,2327,50,363
Barkly (R),1544,1181,6,205
Belyuen (S),71,65,0,10
Central Desert (R),1101,823,5,147
Coomalie (S),135,139,5,10
Darwin (C),3969,2829,135,545
East Arnhem (R),3093,2457,5,429
Katherine (T),1359,1024,24,210
Litchfield (M),832,722,49,67
MacDonnell (R),1621,1291,7,210
Palmerston (C),2307,1438,90,299
Roper Gulf (R),1938,1438,8,292
Tiwi Islands (R),837,681,0,102
Victoria Daly (R),583,418,5,61
Wagait (S),24,25,0,5
West Arnhem (R),2134,1724,5,291
West Daly (R),1152,840,5,219
Unincorporated NT,481,370,6,49
Unincorporated ACT,14714,7184,1443,3894
Unincorp. Other Territories,117,90,5,13
Albury (C),3091,2092,327,595
Armidale Regional (A),2372,1212,134,777
Ballina (A),1965,1331,198,260
Balranald (A),79,44,13,0
Bathurst Regional (A),2118,1181,162,479
Bayside (A),6492,3741,596,1316
Bega Valley (A),1579,1264,240,173
Bellingen (A),794,698,72,81
Berrigan (A),406,300,89,31
Blacktown (C),21052,12006,1499,3934
Bland (A),170,149,14,14
Blayney (A),283,194,29,19
Blue Mountains (C),2863,1674,315,398
Bogan (A),112,82,16,15
Bourke (A),282,227,6,51
Brewarrina (A),179,155,0,23
Broken Hill (C),1018,926,76,171
Burwood (A),1354,782,116,397
Byron (A),2230,1869,189,224
Cabonne (A),452,290,32,52
Camden (A),4788,1966,297,651
Campbelltown (C) (NSW),11888,6697,753,1999
Canada Bay (A),2005,949,190,472
Canterbury-Bankstown (A),25707,13882,1637,5624
Carrathool (A),113,80,7,7
Central Coast (C) (NSW),16886,11480,1472,2442
Central Darling (A),171,171,5,32
Cessnock (C),3770,2729,312,507
Clarence Valley (A),3192,2771,389,413
Cobar (A),122,104,9,20
Coffs Harbour (C),4325,3478,390,723
Coolamon (A),170,135,24,20
Coonamble (A),357,263,9,58
Cootamundra-Gundagai Regional (A),449,362,45,49
Cowra (A),689,594,49,92
Cumberland (A),16016,8676,911,3171
Dubbo Regional (A),3017,1932,211,391
Dungog (A),428,278,50,56
Edward River (A),422,301,34,51
Eurobodalla (A),1977,1579,279,219
Fairfield (C),17248,13239,1083,4108
Federation (A),564,443,110,54
Forbes (A),461,313,42,34
Georges River (A),5871,3151,607,1375
Gilgandra (A),308,223,14,32
Glen Innes Severn (A),631,558,74,77
Goulburn Mulwaree (A),1433,1038,114,173
Greater Hume Shire (A),429,241,48,45
Griffith (C),938,625,62,132
Gunnedah (A),598,452,37,82
Gwydir (A),258,185,21,32
Hawkesbury (C),2553,1720,227,355
Hay (A),114,94,10,19
Hilltops (A),886,699,81,97
Hornsby (A),3992,1701,476,954
Hunters Hill (A),200,117,17,47
Inner West (A),6005,3926,513,1761
Inverell (A),1212,864,89,188
Junee (A),226,148,25,24
Kempsey (A),2215,1684,209,329
Kiama (A),653,341,100,88
Ku-ring-gai (A),2499,738,240,655
Kyogle (A),691,656,73,59
Lachlan (A),424,294,27,44
Lake Macquarie (C),9300,5930,1013,1568
Lane Cove (A),667,300,55,176
Leeton (A),512,398,48,64
Lismore (C),2962,2382,273,462
Lithgow (C),1128,887,123,118
Liverpool (C),16032,9299,956,3496
Liverpool Plains (A),421,342,24,50
Lockhart (A),121,71,10,16
Maitland (C),4769,2665,482,651
Mid-Coast (A),5423,4701,657,650
Mid-Western Regional (A),1140,809,124,132
Moree Plains (A),941,658,35,122
Mosman (A),345,177,27,98
Murray River (A),532,324,149,49
Murrumbidgee (A),156,97,19,22
Muswellbrook (A),922,707,64,125
Nambucca (A),1410,1300,141,196
Narrabri (A),673,537,45,82
Narrandera (A),303,258,22,34
Narromine (A),392,298,26,47
Newcastle (C),9921,5416,749,3402
North Sydney (A),1163,602,86,321
Northern Beaches (A),4957,2492,413,1030
Oberon (A),202,138,13,13
Orange (C),2027,1156,148,387
Parkes (A),819,556,68,99
Parramatta (C),10336,5084,978,2454
Penrith (C),11017,6380,795,1645
Port Macquarie-Hastings (A),4769,2994,454,843
Port Stephens (A),3854,2633,424,519
Queanbeyan-Palerang Regional (A),1624,1027,154,188
Randwick (C),4039,2062,319,1290
Richmond Valley (A),1514,1085,142,209
Ryde (C),4206,1856,438,1219
Shellharbour (C),3544,2425,421,523
Shoalhaven (C),5152,3724,605,635
Singleton (A),1018,660,89,116
Snowy Monaro Regional (A),749,529,95,82
Snowy Valleys (A),641,464,65,54
Strathfield (A),1619,833,121,416
Sutherland Shire (A),5454,2725,552,964
Sydney (C),7281,4859,556,2466
Tamworth Regional (A),3547,2449,233,503
Temora (A),247,179,39,31
Tenterfield (A),504,497,49,50
The Hills Shire (A),5043,1722,543,1118
Tweed (A),4825,3605,569,618
Upper Hunter Shire (A),527,412,48,52
Upper Lachlan Shire (A),290,195,45,33
Uralla (A),309,193,43,36
Wagga Wagga (C),3828,1955,306,1047
Walcha (A),129,104,10,13
Walgett (A),673,604,24,92
Warren (A),216,188,12,21
Warrumbungle Shire (A),584,502,32,78
Waverley (A),1253,718,90,294
Weddin (A),155,135,18,24
Wentworth (A),441,319,56,50
Willoughby (C),1600,671,156,427
Wingecarribee (A),1422,767,169,182
Wollondilly (A),1850,938,143,217
Wollongong (C),10992,6769,1049,3203
Woollahra (A),882,403,45,262
Yass Valley (A),455,237,46,53
Unincorporated NSW,39,30,0,0
Alpine (S),587,304,164,38
Ararat (RC),692,482,208,80
Ballarat (C),7210,3964,1636,1285
Banyule (C),5453,2418,1336,1071
Bass Coast (S),2230,1517,763,182
Baw Baw (S),3105,1600,886,343
Bayside (C),2413,1005,583,485
Benalla (RC),739,495,175,87
Boroondara (C),5436,1522,1128,1845
Brimbank (C),15319,9010,2509,2744
Buloke (S),293,225,57,28
Campaspe (S),2096,1368,517,173
Cardinia (S),6157,2670,1107,798
Casey (C),22805,9699,3533,3724
Central Goldfields (S),1064,857,293,110
Colac-Otway (S),1111,662,340,119
Corangamite (S),770,515,246,65
Darebin (C),8090,4529,1523,1856
East Gippsland (S),3230,2193,998,265
Frankston (C),7196,4618,1459,976
Gannawarra (S),528,398,126,41
Glen Eira (C),5262,2126,1092,1222
Glenelg (S),1163,883,361,130
Golden Plains (S),1115,488,314,107
Greater Bendigo (C),7497,4196,1545,1411
Greater Dandenong (C),11519,6322,1797,2242
Greater Geelong (C),15612,7821,3796,3106
Greater Shepparton (C),4340,2757,756,616
Hepburn (S),873,556,283,75
Hindmarsh (S),283,229,80,25
Hobsons Bay (C),4326,2336,876,674
Horsham (RC),1092,625,286,156
Hume (C),19787,9984,2413,3409
Indigo (S),675,376,160,56
Kingston (C) (Vic.),6132,2858,1602,1011
Knox (C),7637,3249,2025,1307
Latrobe (C) (Vic.),5852,4121,1355,719
Loddon (S),432,420,86,35
Macedon Ranges (S),1887,768,525,212
Manningham (C),5208,1777,1365,1052
Mansfield (S),378,204,106,26
Maribyrnong (C),5117,3080,887,1154
Maroondah (C),5269,2281,1315,761
Melbourne (C),8648,3523,1079,3666
Melton (C),12637,5560,1686,1842
Mildura (RC),3772,2436,524,419
Mitchell (S),2613,1536,511,273
Moira (S),1553,1000,381,155
Monash (C),8879,2952,2166,2467
Moonee Valley (C),5420,2621,1277,1049
Moorabool (S),1844,936,400,201
Moreland (C),9582,4511,1706,2201
Mornington Peninsula (S),6764,3510,1917,684
Mount Alexander (S),1020,577,296,81
Moyne (S),808,401,224,70
Murrindindi (S),711,461,208,63
Nillumbik (S),2121,742,652,346
Northern Grampians (S),714,521,206,57
Port Phillip (C),3920,2622,668,851
Pyrenees (S),412,326,116,40
Queenscliffe (B),104,41,52,7
South Gippsland (S),1538,854,548,135
Southern Grampians (S),785,541,223,69
Stonnington (C),3259,1468,544,1128
Strathbogie (S),512,370,154,42
Surf Coast (S),1251,512,374,173
Swan Hill (RC),1141,753,221,117
Towong (S),271,204,54,28
Wangaratta (RC),1482,850,367,159
Warrnambool (C),2026,1146,604,279
Wellington (S),2823,1722,887,266
West Wimmera (S),179,151,35,10
Whitehorse (C),7570,2680,1936,1862
Whittlesea (C),14003,6834,2338,2591
Wodonga (C),2486,1399,400,334
Wyndham (C),18778,7412,2356,2762
Yarra (C),4472,2451,671,1405
Yarra Ranges (S),6843,3333,1767,877
Yarriambiack (S),345,295,72,33
Unincorporated Vic,29,19,10,5
Aurukun (S),468,390,0,60
Balonne (S),257,177,11,27
Banana (S),554,420,49,47
Barcaldine (R),107,63,6,6
Barcoo (S),10,10,0,10
Blackall-Tambo (R),76,59,10,10
Boulia (S),56,38,0,0
Brisbane (C),55970,28251,5333,15619
Bulloo (S),13,10,5,0
Bundaberg (R),6544,5005,920,825
Burdekin (S),812,652,78,90
Burke (S),39,31,0,5
Cairns (R),11713,7762,788,1586
Carpentaria (S),263,201,0,27
Cassowary Coast (R),1957,1635,177,187
Central Highlands (R) (Qld),1141,777,87,113
Charters Towers (R),669,532,46,76
Cherbourg (S),296,212,7,53
Cloncurry (S),212,164,0,22
Cook (S),501,402,28,35
Croydon (S),33,18,0,0
Diamantina (S),9,8,0,0
Doomadgee (S),468,330,0,35
Douglas (S),895,692,98,65
Etheridge (S),32,19,0,0
Flinders (S) (Qld),75,54,5,5
Fraser Coast (R),7483,6033,1208,959
Gladstone (R),4074,3179,463,493
Gold Coast (C),31174,17829,2557,6133
Goondiwindi (R),509,343,45,52
Gympie (R),3480,2583,408,412
Hinchinbrook (S),597,471,81,63
Hope Vale (S),305,193,9,45
Ipswich (C),15236,8980,1169,2392
Isaac (R),497,339,39,34
Kowanyama (S),368,277,0,50
Livingstone (S),1617,1115,290,148
Lockhart River (S),161,104,5,21
Lockyer Valley (R),2555,1612,226,526
Logan (C),24538,14244,1774,3873
Longreach (R),152,97,14,19
Mackay (R),5251,3670,566,581
McKinlay (S),29,12,0,0
Mapoon (S),61,41,0,7
Maranoa (R),537,340,64,63
Mareeba (S),1830,1516,95,179
Moreton Bay (R),25294,15091,2760,3803
Mornington (S),288,207,0,25
Mount Isa (C),1504,974,35,193
Murweh (S),210,187,19,23
Napranum (S),250,184,0,26
Noosa (S),2152,1620,308,250
North Burnett (R),691,626,70,72
Northern Peninsula Area (R),482,263,5,40
Palm Island (S),682,440,9,91
Paroo (S),158,131,5,22
Pormpuraaw (S),258,218,0,21
Quilpie (S),42,32,0,0
Redland (C),6628,4208,844,920
Richmond (S),27,22,5,5
Rockhampton (R),5289,3631,468,678
Scenic Rim (R),2074,1537,240,244
Somerset (R),1437,1126,161,155
South Burnett (R),2273,1745,228,261
Southern Downs (R),2049,1564,296,220
Sunshine Coast (R),15651,9159,1975,2696
Tablelands (R),1592,1332,139,142
Toowoomba (R),9552,5541,1043,1569
Torres (S),427,222,5,44
Torres Strait Island (R),1270,613,0,92
Townsville (C),12277,7612,972,2406
Weipa (T),154,73,0,17
Western Downs (R),1931,1397,150,243
Whitsunday (R),1689,1413,178,135
Winton (S),35,23,5,0
Woorabinda (S),305,217,5,49
Wujal Wujal (S),124,94,0,7
Yarrabah (S),837,589,11,114
Adelaide (C),2075,1148,147,956
Adelaide Hills (DC),1278,606,202,242
Adelaide Plains (DC),543,406,54,73
Alexandrina (DC),1407,1143,244,178
Anangu Pitjantjatjara (AC),651,532,0,66
Barossa (DC),963,659,156,108
Barunga West (DC),102,128,16,10
Berri and Barmera (DC),641,556,73,94
Burnside (C),1468,588,150,425
Campbelltown (C) (SA),2457,1331,302,550
Ceduna (DC),350,253,8,39
Charles Sturt (C),5782,4023,686,1297
Clare and Gilbert Valleys (DC),376,294,55,34
Cleve (DC),74,55,5,0
Coober Pedy (DC),221,259,6,25
Copper Coast (DC),1030,913,217,85
Elliston (DC),71,53,9,10
Flinders Ranges (DC),90,85,14,5
Franklin Harbour (DC),48,45,9,5
Gawler (T),1498,1034,164,278
Goyder (DC),256,222,30,27
Grant (DC),298,209,55,32
Holdfast Bay (C),1337,805,191,311
Kangaroo Island (DC),208,184,24,17
Karoonda East Murray (DC),56,52,11,0
Kimba (DC),32,15,7,5
Kingston (DC) (SA),74,84,13,0
Light (RegC),815,373,94,172
Lower Eyre Peninsula (DC),220,142,39,10
Loxton Waikerie (DC),575,480,66,53
Maralinga Tjarutja (AC),22,20,0,0
Marion (C),5115,3153,703,1293
Mid Murray (DC),553,602,87,55
Mitcham (C),2677,1132,335,853
Mount Barker (DC),1787,972,237,323
Mount Gambier (C),1810,1272,283,231
Mount Remarkable (DC),134,135,21,15
Murray Bridge (RC),1571,1270,171,203
Naracoorte and Lucindale (DC),373,242,46,27
Northern Areas (DC),197,196,27,17
Norwood Payneham St Peters (C),1448,835,155,411
Onkaparinga (C),10781,7388,1320,1877
Orroroo/Carrieton (DC),30,21,0,5
Peterborough (DC),144,167,10,11
Playford (C),9413,6894,760,1718
Port Adelaide Enfield (C),8146,5868,782,1792
Port Augusta (C),1273,1148,90,168
Port Lincoln (C),1005,829,95,110
Port Pirie City and Dists (M),1381,1168,214,200
Prospect (C),827,437,89,224
Renmark Paringa (DC),564,517,54,63
Robe (DC),41,22,6,10
Roxby Downs (M),78,52,6,11
Salisbury (C),11241,7336,994,2254
Southern Mallee (DC),72,56,9,5
Streaky Bay (DC),104,92,13,10
Tatiara (DC),221,152,23,20
Tea Tree Gully (C),4540,2541,561,842
The Coorong (DC),311,295,32,30
Tumby Bay (DC),116,80,22,11
Unley (C),1348,609,167,373
Victor Harbor (C),876,631,183,107
Wakefield (DC),442,368,45,39
Walkerville (M),247,149,28,67
Wattle Range (DC),608,554,122,68
West Torrens (C),2878,1776,297,841
Whyalla (C),1779,1670,212,268
Wudinna (DC),44,29,6,5
Yankalilla (DC),302,264,58,30
Yorke Peninsula (DC),599,585,126,38
Unincorporated SA,332,324,6,35
Albany (C),1910,1337,266,254
Armadale (C),5351,3592,515,863
Ashburton (S),198,150,7,13
Augusta-Margaret River (S),694,440,124,39
Bassendean (T),764,511,81,127
Bayswater (C),3415,2075,436,651
Belmont (C),2412,1562,225,449
Beverley (S),86,76,10,10
Boddington (S),84,74,11,0
Boyup Brook (S),60,43,9,5
Bridgetown-Greenbushes (S),236,162,48,18
Brookton (S),57,50,0,6
Broome (S),1593,1104,58,181
Broomehill-Tambellup (S),80,56,0,13
Bruce Rock (S),45,39,0,0
Bunbury (C),1945,1596,276,261
Busselton (C),1645,1075,283,152
Cambridge (T),570,221,47,187
Canning (C),4687,2192,519,1202
Capel (S),737,412,115,98
Carnamah (S),38,42,0,5
Carnarvon (S),607,518,23,76
Chapman Valley (S),59,51,5,10
Chittering (S),205,105,23,7
Claremont (T),269,100,22,101
Cockburn (C),5025,3077,571,936
Collie (S),580,511,78,49
Coolgardie (S),225,194,14,21
Coorow (S),61,56,0,5
Corrigin (S),38,30,7,0
Cottesloe (T),156,51,12,66
Cranbrook (S),53,36,0,5
Cuballing (S),48,35,13,5
Cue (S),28,32,5,5
Cunderdin (S),59,43,5,14
Dalwallinu (S),53,33,7,0
Dandaragan (S),150,141,30,10
Dardanup (S),572,361,111,62
Denmark (S),295,227,46,25
Derby-West Kimberley (S),1953,1416,19,258
Donnybrook-Balingup (S),276,195,46,20
Dowerin (S),43,28,0,5
Dumbleyung (S),36,30,5,0
Dundas (S),70,67,5,0
East Fremantle (T),198,118,32,40
East Pilbara (S),573,408,10,65
Esperance (S),630,388,64,73
Exmouth (S),135,117,12,5
Fremantle (C),1574,1267,179,348
Gingin (S),205,186,18,13
Gnowangerup (S),73,44,7,14
Goomalling (S),58,47,7,6
Gosnells (C),8012,4511,788,1471
Greater Geraldton (C),2741,2006,176,349
Halls Creek (S),1030,684,0,132
Harvey (S),1214,785,239,109
Irwin (S),157,150,29,11
Jerramungup (S),50,26,9,10
Joondalup (C),5269,2711,766,1048
Kalamunda (C),2299,1318,279,335
Kalgoorlie/Boulder (C),1309,880,66,116
Karratha (C),1105,794,23,110
Katanning (S),333,221,29,36
Kellerberrin (S),76,76,5,7
Kent (S),11,0,0,0
Kojonup (S),89,67,6,0
Kondinin (S),37,30,0,5
Koorda (S),17,16,5,5
Kulin (S),22,9,0,5
Kwinana (C),2749,1888,265,414
Lake Grace (S),32,14,5,5
Laverton (S),127,109,0,13
Leonora (S),103,88,0,10
Mandurah (C),4847,3721,702,623
Manjimup (S),446,308,70,40
Meekatharra (S),234,158,0,27
Melville (C),3409,1503,466,965
Menzies (S),21,18,0,0
Merredin (S),198,171,16,19
Mingenew (S),12,20,0,0
Moora (S),174,130,14,13
Morawa (S),62,39,0,5
Mosman Park (T),270,160,23,75
Mount Magnet (S),103,89,5,13
Mount Marshall (S),16,13,0,5
Mukinbudin (S),21,10,0,0
Mundaring (S),1361,846,183,154
Murchison (S),5,5,0,0
Murray (S),957,700,168,98
Nannup (S),71,75,14,0
Narembeen (S),26,15,5,5
Narrogin (S),304,222,28,36
Nedlands (C),495,156,46,218
Ngaanyatjarraku (S),695,581,5,99
Northam (S),824,665,55,92
Northampton (S),177,171,20,5
Nungarin (S),13,11,0,0
Peppermint Grove (S),19,8,5,8
Perenjori (S),19,11,0,0
Perth (C),1992,1118,140,739
Pingelly (S),93,87,9,9
Plantagenet (S),352,251,47,27
Port Hedland (T),1022,786,19,114
Quairading (S),67,64,5,7
Ravensthorpe (S),82,79,5,5
Rockingham (C),6902,4486,751,950
Sandstone (S),0,5,0,0
Serpentine-Jarrahdale (S),1207,664,138,148
Shark Bay (S),54,46,5,5
South Perth (C),1799,847,195,615
Stirling (C),9859,6009,1103,1942
Subiaco (C),480,298,50,154
Swan (C),8671,5103,835,1361
Tammin (S),39,34,0,10
Three Springs (S),34,37,5,0
Toodyay (S),247,169,26,22
Trayning (S),14,21,5,5
Upper Gascoyne (S),6,5,0,0
Victoria Park (T),1819,1099,193,513
Victoria Plains (S),33,21,7,0
Vincent (C),1463,782,152,407
Wagin (S),107,91,6,13
Wandering (S),14,15,5,5
Wanneroo (C),10753,6078,1181,1776
Waroona (S),217,219,28,14
West Arthur (S),32,22,0,5
Westonia (S),8,5,0,0
Wickepin (S),38,30,6,0
Williams (S),30,27,5,5
Wiluna (S),99,75,0,7
Wongan-Ballidu (S),66,57,10,5
Woodanilling (S),21,14,5,0
Wyalkatchem (S),36,30,5,5
Wyndham-East Kimberley (S),1007,709,12,108
Yalgoo (S),40,36,0,5
Yilgarn (S),43,64,0,5
York (S),207,174,17,25
Break O'Day (M),512,518,117,41
Brighton (M),1474,1006,142,240
Burnie (C),1469,1059,256,233
Central Coast (M) (Tas.),1273,859,313,134
Central Highlands (M) (Tas.),154,152,23,14
Circular Head (M),426,312,89,34
Clarence (C),2938,1628,526,539
Derwent Valley (M),820,588,131,112
Devonport (C),1725,1243,364,296
Dorset (M),467,362,101,38
Flinders (M) (Tas.),47,44,5,10
George Town (M),626,475,127,71
Glamorgan/Spring Bay (M),231,191,64,15
Glenorchy (C),3316,2284,458,640
Hobart (C),2776,1299,401,1052
Huon Valley (M),1215,869,285,141
Kentish (M),397,270,105,26
King Island (M),41,28,7,0
Kingborough (M),1746,882,369,307
Latrobe (M) (Tas.),617,397,185,58
Launceston (C),4975,3316,714,962
Meander Valley (M),995,673,217,100
Northern Midlands (M),696,512,147,70
Sorell (M),912,573,181,116
Southern Midlands (M),399,265,63,49
Tasman (M),149,158,29,14
Waratah/Wynyard (M),849,584,192,104
West Coast (M),305,371,31,19
West Tamar (M),1304,800,319,166
Alice Springs (T),2503,1669,53,260
Barkly (R),1721,1248,7,173
Belyuen (S),82,64,0,13
Central Desert (R),1089,774,0,123
Coomalie (S),146,139,0,11
Darwin (C),3835,2511,148,490
East Arnhem (R),3108,2233,0,368
Katherine (T),1320,925,22,179
Litchfield (M),808,643,46,63
MacDonnell (R),1733,1323,5,180
Palmerston (C),2158,1211,96,238
Roper Gulf (R),1970,1400,10,258
Tiwi Islands (R),806,590,0,85
Victoria Daly (R),631,417,5,65
Wagait (S),21,24,0,5
West Arnhem (R),2067,1513,0,234
West Daly (R),1213,695,5,153
Unincorporated NT,558,400,8,53
Unincorporated ACT,14297,6524,1462,3897
Unincorp. Other Territories,109,82,5,6
Albury (C),2990,2140,350,485
Armidale Regional (A),2130,1305,140,535
Ballina (A),1890,1360,210,210
Balranald (A),80,50,10,10
Bathurst Regional (A),1985,1265,170,365
Bayside (A),5900,3770,590,1000
Bega Valley (A),1565,1270,245,170
Bellingen (A),790,715,90,70
Berrigan (A),385,310,80,30
Blacktown (C),19510,12185,1520,3015
Bland (A),155,150,15,10
Blayney (A),290,190,35,20
Blue Mountains (C),2700,1675,340,300
Bogan (A),120,95,15,20
Bourke (A),315,265,10,50
Brewarrina (A),185,165,5,20
Broken Hill (C),985,1000,80,170
Burwood (A),1230,795,115,270
Byron (A),2055,1905,200,165
Cabonne (A),460,310,50,40
Camden (A),4480,1940,305,485
Campbelltown (C) (NSW),11060,6755,740,1640
Canada Bay (A),1810,950,195,310
Canterbury-Bankstown (A),23540,13995,1685,4255
Carrathool (A),115,85,10,10
Central Coast (C) (NSW),16070,11685,1595,1955
Central Darling (A),185,195,5,30
Cessnock (C),3525,2705,310,440
Clarence Valley (A),3065,2760,390,395
Cobar (A),130,125,10,15
Coffs Harbour (C),4245,3500,430,675
Coolamon (A),160,130,25,15
Coonamble (A),355,275,15,50
Cootamundra-Gundagai Regional (A),465,365,45,55
Cowra (A),685,600,45,90
Cumberland (A),14900,8860,940,2510
Dubbo Regional (A),3105,2125,225,400
Dungog (A),385,280,50,50
Edward River (A),440,330,45,50
Eurobodalla (A),1910,1595,295,205
Fairfield (C),16045,13285,1095,3285
Federation (A),565,435,120,45
Forbes (A),515,385,45,60
Georges River (A),5395,3160,655,995
Gilgandra (A),305,225,15,30
Glen Innes Severn (A),630,545,75,65
Goulburn Mulwaree (A),1355,1085,125,140
Greater Hume Shire (A),425,245,55,40
Griffith (C),950,670,65,120
Gunnedah (A),665,535,40,85
Gwydir (A),250,195,25,30
Hawkesbury (C),2340,1650,230,265
Hay (A),110,95,10,15
Hilltops (A),890,710,95,105
Hornsby (A),3655,1690,495,620
Hunters Hill (A),180,120,15,30
Inner West (A),5365,4070,555,1220
Inverell (A),1195,910,110,170
Junee (A),225,155,25,25
Kempsey (A),2155,1770,220,315
Kiama (A),600,320,105,65
Ku-ring-gai (A),2200,740,235,405
Kyogle (A),645,635,70,45
Lachlan (A),435,325,30,40
Lake Macquarie (C),8770,6070,1015,1305
Lane Cove (A),590,300,50,115
Leeton (A),535,405,45,70
Lismore (C),2700,2335,250,380
Lithgow (C),1115,920,130,110
Liverpool (C),14805,9390,1000,2725
Liverpool Plains (A),415,365,25,55
Lockhart (A),115,75,10,10
Maitland (C),4560,2770,480,585
Mid-Coast (A),5235,4715,680,605
Mid-Western Regional (A),1115,805,120,125
Moree Plains (A),1090,855,45,165
Mosman (A),305,170,35,65
Murray River (A),565,345,170,45
Murrumbidgee (A),155,95,20,25
Muswellbrook (A),895,735,65,120
Nambucca (A),1340,1265,150,180
Narrabri (A),725,605,60,90
Narrandera (A),315,265,25,40
Narromine (A),405,310,30,55
