LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Greater Geelong (C),18673,10398,3243,4171
Greater Shepparton (C),5261,3446,697,877
Hepburn (S),1018,727,240,97
Hindmarsh (S),326,253,82,42
Hobsons Bay (C),5580,3387,799,1011
Horsham (RC),1246,725,241,212
Hume (C),24107,13597,2168,4786
Indigo (S),820,487,131,88
Kingston (C) (Vic0),7986,4360,1506,1558
Knox (C),9715,4904,1808,1917
Latrobe (C) (Vic0),6851,4954,1232,1007
Loddon (S),512,464,70,63
Macedon Ranges (S),2311,1062,505,327
Manningham (C),6728,2909,1347,1424
Mansfield (S),477,293,111,35
Maribyrnong (C),6726,4491,765,1528
Maroondah (C),6671,3620,1151,1126
Melbourne (C),10426,5396,893,3997
Melton (C),14883,7614,1450,2609
Mildura (RC),4447,2984,459,628
Mitchell (S),3215,1973,425,485
Moira (S),1903,1291,330,227
Monash (C),11296,4647,1999,3334
Moonee Valley (C),7059,3891,1144,1570
Moorabool (S),2225,1258,354,299
Moreland (C),13051,7114,1493,3109
Mornington Peninsula (S),8411,5248,1693,1186
Mount Alexander (S),1216,777,260,142
Moyne (S),977,537,228,96
Murrindindi (S),856,594,185,99
Nillumbik (S),2700,1174,623,540
Northern Grampians (S),743,580,169,75
Port Phillip (C),5287,4022,565,1075
Pyrenees (S),511,390,101,56
Queenscliffe (B),126,54,43,19
South Gippsland (S),1803,1087,471,180
Southern Grampians (S),986,659,246,112
Stonnington (C),4663,2496,493,1463
Strathbogie (S),621,455,135,56
Surf Coast (S),1653,792,345,280
Swan Hill (RC),1389,893,205,177
Towong (S),353,249,54,27
Wangaratta (RC),1714,1104,328,240
Warrnambool (C),2336,1463,538,397
Wellington (S),3153,2056,750,341
West Wimmera (S),195,158,34,17
Whitehorse (C),9612,4156,1889,2384
Whittlesea (C),17450,9535,1992,3582
Wodonga (C),2958,1825,355,501
Wyndham (C),23102,10762,2285,3895
Yarra (C),5974,3835,556,1741
Yarra Ranges (S),8441,4870,1562,1331
Yarriambiack (S),387,320,66,36
Unincorporated Vic,53,25,9,5
Aurukun (S),468,367,5,39
Balonne (S),302,179,6,34
Banana (S),708,459,38,80
Barcaldine (R),151,90,6,16
Barcoo (S),11,5,0,0
Blackall-Tambo (R),66,73,5,0
Boulia (S),45,31,0,0
Brisbane (C),73277,39930,4711,20127
Bulloo (S),15,8,0,0
Bundaberg (R),7739,5862,784,1154
Burdekin (S),990,789,61,132
